Symbol,Date,Assets,Liabilities,Revenue,Earnings,EPS
AAL,2012/12/31,23510000000,24891000000,24855000000,-9462000000,-5.6
AAL,2013/12/31,42278000000,45009000000,26743000000,-11296000000,-11.25
AAL,2014/12/31,43225000000,41204000000,42650000000,-8562000000,4.02
AAL,2015/12/31,48415000000,42780000000,40990000000,-1230000000,11.39
AAP,2012/12/29,4613814000,3403120000,6205003000,714900000,5.29
AAP,2013/12/28,5564774000,4048569000,6493814000,1089112000,5.36
AAP,2015/1/3,7962358000,5959446000,9843861000,1565341000,6.75
AAP,2016/1/2,8134565000,5673917000,9737018000,2021077000,6.45
AAPL,2013/9/28,2.07E+11,83451000000,1.71E+11,1.04E+11,40.03
AAPL,2014/9/27,2.32E+11,1.20E+11,1.83E+11,87152000000,6.49
AAPL,2015/9/26,2.90E+11,1.71E+11,2.34E+11,92284000000,9.28
AAPL,2016/9/24,3.22E+11,1.93E+11,2.16E+11,96364000000,8.35
ABBV,2012/12/31,27008000000,27358000000,18380000000,0,
ABBV,2013/12/31,29198000000,24706000000,18790000000,1567000000,2.58
ABBV,2014/12/31,27513000000,25771000000,19960000000,535000000,1.11
ABBV,2015/12/31,53050000000,49105000000,22859000000,2248000000,3.15
ABC,2013/9/30,18918638000,16598893000,87959167000,1508414000,1.88
ABC,2014/9/30,21532183000,19575284000,1.20E+11,1570429000,1.22
ABC,2015/9/30,27962982000,27346596000,1.36E+11,1164489000,-0.62
ABC,2016/9/30,33656200000,31526796000,1.47E+11,2303941000,6.73
ABT,2012/12/31,67235000000,40514000000,19050000000,24151000000,3.76
ABT,2013/12/31,42953000000,17782000000,19657000000,21979000000,1.64
ABT,2014/12/31,41207000000,19681000000,20247000000,22874000000,1.5
ABT,2015/12/31,41247000000,20036000000,20405000000,25757000000,2.94
ADBE,2013/11/29,10380298000,3655664000,4055240000,6928964000,0.58
ADBE,2014/11/28,10785829000,4009924000,4147065000,6924294000,0.54
ADBE,2015/11/27,11726472000,4724892000,4795511000,7253431000,1.26
ADBE,2016/12/2,12707114000,5282279000,5854430000,8114517000,
ADI,2013/11/2,6381750000,1642174000,2633689000,4056401000,2.19
ADI,2014/11/1,6859690000,2101793000,2864773000,4231496000,0.35
ADI,2015/10/31,7058777000,1985818000,3435092000,4437315000,0.31
ADI,2016/10/29,7970278000,2804660000,3421409000,4785799000,0.96
ADM,2012/12/31,45136000000,26005000000,90559000000,13236000000,
ADM,2013/12/31,43752000000,23558000000,89804000000,14077000000,2.03
ADM,2014/12/31,43997000000,24367000000,81201000000,15701000000,3.44
ADM,2015/12/31,40157000000,22242000000,67702000000,16865000000,2.99
ADS,2012/12/31,12000139000,11471652000,3641390000,1553260000,8.44
ADS,2013/12/31,13244257000,12388496000,4319063000,2049430000,10.09
ADS,2014/12/31,20263977000,17867597000,5302940000,2540948000,8.72
ADS,2015/12/31,22421830000,20411800000,6439746000,3092464000,8.91
ADSK,2013/1/31,4308400000,2265200000,2312200000,599100000,1.09
ADSK,2014/1/31,4595000000,2333500000,2273900000,624800000,1.02
ADSK,2015/1/31,4909700000,2690500000,2512200000,499400000,0.36
ADSK,2016/1/31,5515300000,3895700000,2504100000,-80800000,-1.46
AEE,2012/12/31,22230000000,15614000000,5781000000,1006000000,-4.01
AEE,2013/12/31,21042000000,14498000000,5838000000,907000000,1.19
AEE,2014/12/31,22289000000,15576000000,6053000000,1103000000,2.42
AEE,2015/12/31,23640000000,16694000000,6098000000,1331000000,2.6
AEP,2012/12/31,54367000000,39130000000,14945000000,6236000000,2.6
AEP,2013/12/31,56414000000,40329000000,14813500000,6766000000,3.04
AEP,2014/12/31,59544600000,42724400000,16378600000,7406600000,3.34
AEP,2015/12/31,61683100000,43791400000,16453200000,8398300000,
AFL,2012/12/31,1.31E+11,1.15E+11,25364000000,17387000000,6.14
AFL,2013/12/31,1.21E+11,1.07E+11,23939000000,19885000000,6.8
AFL,2014/12/31,1.20E+11,1.01E+11,22728000000,22156000000,6.54
AFL,2015/12/31,1.18E+11,1.01E+11,20872000000,24007000000,5.88
AIG,2012/12/31,5.49E+11,4.51E+11,71214000000,14176000000,
AIG,2013/12/31,5.41E+11,4.41E+11,68874000000,22965000000,6.16
AIG,2014/12/31,5.16E+11,4.09E+11,64406000000,29775000000,5.27
AIG,2015/12/31,4.97E+11,4.07E+11,58327000000,30943000000,1.69
AIV,2012/12/31,6401380000,5485955000,958511000,-2863287000,0.61
AIV,2013/12/31,6079413000,5111956000,974053000,-2798853000,1.4
AIV,2014/12/31,6097028000,4869293000,984363000,-2649542000,2.06
AIV,2015/12/31,6144194000,4521803000,981310000,-2596917000,1.52
AIZ,2013/12/31,29714689000,24881210000,9047657000,4415875000,6.38
AIZ,2014/12/31,31562466000,26381159000,10381653000,4809287000,6.52
